domain,harness,arm,recipe,snapshot,seed,solved,n_tasks,pct,ci_lo,ci_hi,is_dup,is_smoke,run_tag
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,42,19,40,47.5,32.94,62.5,0,0,insurance_rollout_expert_thoughts_all_sgdlr1e_3_step_0020
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,555,19,40,47.5,32.94,62.5,0,0,insurance_rollout_expert_thoughts_all_seed555_step_0020
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,777,20,40,50.0,35.2,64.8,0,0,insurance_rollout_expert_thoughts_all_seed777_step_0020
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,999,21,40,52.5,37.5,67.06,0,0,insurance_rollout_expert_thoughts_all_seed999_step_0020
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_0020,1234,18,40,45.0,30.71,60.17,0,0,insurance_rollout_expert_thoughts_all_seed1234_step_0020
insurance,snorkel,expert_thoughts_all,sgdlr1e_3,step_best,42,4,40,10.0,3.96,23.05,0,0,insurance_rollout_expert_thoughts_all_sgdlr1e_3_step_best
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_0020,42,19,40,47.5,32.94,62.5,0,0,insurance_rollout_thoughts_base_adamw30_sgdlr1e_3_step_0020
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_0020,555,22,40,55.0,39.83,69.29,0,0,insurance_rollout_thoughts_base_adamw30_seed555_step_0020
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_0020,777,18,40,45.0,30.71,60.17,0,0,insurance_rollout_thoughts_base_adamw30_seed777_step_0020
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_0020,999,21,40,52.5,37.5,67.06,0,0,insurance_rollout_thoughts_base_adamw30_seed999_step_0020
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_0020,1234,21,40,52.5,37.5,67.06,0,0,insurance_rollout_thoughts_base_adamw30_seed1234_step_0020
insurance,snorkel,thoughts_base_adamw30,sgdlr1e_3,step_best,42,8,40,20.0,10.5,34.76,0,0,insurance_rollout_thoughts_base_adamw30_sgdlr1e_3_step_best
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_0020,42,21,40,52.5,37.5,67.06,0,0,insurance_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_0020
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_0020,777,22,40,55.0,39.83,69.29,0,0,insurance_rollout_thoughts_policy_adamw30_seed777_step_0020
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_0020,1234,19,40,47.5,32.94,62.5,0,0,insurance_rollout_thoughts_policy_adamw30_seed1234_step_0020
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_best,42,6,40,15.0,7.06,29.07,0,0,insurance_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_best
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_best,777,5,40,12.5,5.46,26.11,0,0,insurance_rollout_thoughts_policy_adamw30_seed777_step_best
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3,step_best,1234,7,40,17.5,8.75,31.95,0,0,insurance_rollout_thoughts_policy_adamw30_seed1234_step_best
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3_rep2,step_0020,42,22,40,55.0,39.83,69.29,0,0,insurance_rollout_thoughts_policy_adamw30_sgdlr1e_3_rep2_step_0020
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3_rep2,step_best,42,6,40,15.0,7.06,29.07,0,0,insurance_rollout_thoughts_policy_adamw30_sgdlr1e_3_rep2_step_best
insurance,snorkel,thoughts_policy_adamw30,sgdlr1e_3_rep3,step_0020,42,22,40,55.0,39.83,69.29,0,0,insurance_rollout_thoughts_policy_adamw30_sgdlr1e_3_rep3_step_0020
insurance,snorkel,thoughts_policy_g8top1,g8top1,step_0020,42,15,40,37.5,24.22,52.97,0,0,insurance_rollout_thoughts_policy_g8top1_g8top1_step_0020
insurance,snorkel,thoughts_policy_g8top1,g8top1,step_best,42,4,40,10.0,3.96,23.05,0,0,insurance_rollout_thoughts_policy_g8top1_g8top1_step_best
insurance,snorkel,thoughts_policy_g8top2,g8top2,step_0020,42,20,40,50.0,35.2,64.8,0,0,insurance_rollout_thoughts_policy_g8top2_g8top2_step_0020
insurance,snorkel,thoughts_policy_g8top2,g8top2,step_best,42,5,40,12.5,5.46,26.11,0,0,insurance_rollout_thoughts_policy_g8top2_g8top2_step_best
insurance,snorkel,thoughts_policy_g8top4,g8top4,step_0020,42,18,40,45.0,30.71,60.17,0,0,insurance_rollout_thoughts_policy_g8top4_g8top4_step_0020
insurance,snorkel,thoughts_policy_g8top4,g8top4,step_best,42,4,40,10.0,3.96,23.05,0,0,insurance_rollout_thoughts_policy_g8top4_g8top4_step_best
insurance,snorkel,thoughts_policy_g8top8,g8top8,step_0020,42,21,40,52.5,37.5,67.06,0,0,insurance_rollout_thoughts_policy_g8top8_g8top8_step_0020
insurance,snorkel,thoughts_policy_g8top8,g8top8,step_best,42,6,40,15.0,7.06,29.07,0,0,insurance_rollout_thoughts_policy_g8top8_g8top8_step_best
retail,tau2,actions_only,flat32,step_0020,42,0,42,0.0,0.0,8.38,0,0,retail_rollout_actions_only_flat32_step_0020
retail,tau2,actions_only,flat32,step_best,42,3,42,7.14,2.46,19.01,0,0,retail_rollout_actions_only_flat32
retail,tau2,actions_only,lr1e4,step_best,42,3,42,7.14,2.46,19.01,0,0,retail_rollout_actions_only_lr1e4_step_best
retail,tau2,actions_only,lr3e_3,step_best,42,5,42,11.9,5.19,25.0,0,0,retail_rollout_actions_only_lr3e_3
retail,tau2,actions_only,lr3e_3_smoke,step_best,42,0,1,0.0,0.0,79.35,0,1,retail_rollout_actions_only_lr3e_3_smoke
retail,tau2,actions_only,sgd3e_3flat,step_best,42,7,42,16.67,8.32,30.6,0,0,retail_rollout_actions_only_sgd3e_3flat_step_best
retail,tau2,actions_only,sgdlr1e_3,step_0020,42,9,42,21.43,11.71,35.94,0,0,retail_rollout_actions_only_sgdlr1e_3_step_0020
retail,tau2,actions_only,sgdlr1e_3,step_0020,777,9,42,21.43,11.71,35.94,0,0,retail_rollout_actions_only_sgdlr1e_3_s777_step_0020
retail,tau2,actions_only,sgdlr1e_3,step_0020,1234,13,42,30.95,19.07,46.03,0,0,retail_rollout_actions_only_sgdlr1e_3_s1234_step_0020
retail,tau2,actions_only,sgdlr1e_3,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_actions_only_sgdlr1e_3_step_best
retail,tau2,actions_only,x3,step_best,42,6,42,14.29,6.72,27.84,0,0,retail_rollout_actions_only_x3
retail,tau2,base,base,step_best,42,6,42,14.29,6.72,27.84,0,0,retail_rollout_base
retail,tau2,expert_thoughts,flat32,step_best,42,2,42,4.76,1.32,15.79,0,0,retail_rollout_expert_thoughts_flat32
retail,tau2,expert_thoughts,lr3e_3,step_best,42,5,42,11.9,5.19,25.0,0,0,retail_rollout_expert_thoughts_lr3e_3
retail,tau2,expert_thoughts,x3,step_best,42,4,42,9.52,3.77,22.07,0,0,retail_rollout_expert_thoughts_x3
retail,tau2,expert_thoughts_all,lr1e4,step_best,42,13,42,30.95,19.07,46.03,0,0,retail_rollout_expert_thoughts_all_lr1e4_step_best
retail,tau2,expert_thoughts_all,lr3e_3,step_best,42,9,42,21.43,11.71,35.94,0,0,retail_rollout_expert_thoughts_all_lr3e_3
retail,tau2,expert_thoughts_all,lr3e_3_fixeval,step_best,42,6,42,14.29,6.72,27.84,0,0,retail_rollout_expert_thoughts_all_lr3e_3_fixeval
retail,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,42,9,42,21.43,11.71,35.94,0,0,retail_rollout_expert_thoughts_all_sgdlr1e_3_step_0020
retail,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,777,8,42,19.05,9.98,33.3,0,0,retail_rollout_expert_thoughts_all_sgdlr1e_3_s777_step_0020
retail,tau2,expert_thoughts_all,sgdlr1e_3,step_0020,1234,10,42,23.81,13.48,38.53,0,0,retail_rollout_expert_thoughts_all_sgdlr1e_3_s1234_step_0020
retail,tau2,expert_thoughts_all,sgdlr1e_3,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_expert_thoughts_all_sgdlr1e_3_step_best
retail,tau2,thoughts_base,lr3e_3,step_best,42,7,42,16.67,8.32,30.6,0,0,retail_rollout_thoughts_base_lr3e_3
retail,tau2,thoughts_base_adamw30,sgdlr1e_3,step_0020,42,11,42,26.19,15.3,41.07,0,0,retail_rollout_thoughts_base_adamw30_sgdlr1e_3_step_0020
retail,tau2,thoughts_base_adamw30,sgdlr1e_3,step_best,42,10,42,23.81,13.48,38.53,0,0,retail_rollout_thoughts_base_adamw30_sgdlr1e_3_step_best
retail,tau2,thoughts_policy,lr3e_3,step_best,42,9,42,21.43,11.71,35.94,0,0,retail_rollout_thoughts_policy_lr3e_3
retail,tau2,thoughts_policy,sgd1e_3_oldcorpus,step_0020,42,9,42,21.43,11.71,35.94,0,0,retail_rollout_thoughts_policy_sgd1e_3_oldcorpus_step_0020
retail,tau2,thoughts_policy,sgd1e_3_oldcorpus,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_thoughts_policy_sgd1e_3_oldcorpus_step_best
retail,tau2,thoughts_policy,x3,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_thoughts_policy_x3
retail,tau2,thoughts_policy_1gen,lr3e_3,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_thoughts_policy_1gen_lr3e_3
retail,tau2,thoughts_policy_adamw30,flat32,step_0020,42,5,42,11.9,5.19,25.0,0,0,retail_rollout_thoughts_policy_adamw30_flat32_step_0020
retail,tau2,thoughts_policy_adamw30,flat32,step_best,42,0,42,0.0,0.0,8.38,0,0,retail_rollout_thoughts_policy_adamw30_flat32
retail,tau2,thoughts_policy_adamw30,lr1e4,step_0020,42,3,42,7.14,2.46,19.01,0,0,retail_rollout_thoughts_policy_adamw30_lr1e4_step_0020
retail,tau2,thoughts_policy_adamw30,lr1e4,step_0060,42,4,42,9.52,3.77,22.07,0,0,retail_rollout_thoughts_policy_adamw30_lr1e4_step_0060
retail,tau2,thoughts_policy_adamw30,lr1e4,step_best,42,4,42,9.52,3.77,22.07,0,0,retail_rollout_thoughts_policy_adamw30_lr1e4_step_best
retail,tau2,thoughts_policy_adamw30,lr3e_3_smoke,step_best,42,0,1,0.0,0.0,79.35,0,1,retail_rollout_thoughts_policy_adamw30_lr3e_3_smoke
retail,tau2,thoughts_policy_adamw30,sgd1e_3_nb1k,step_0020,42,7,42,16.67,8.32,30.6,0,0,retail_rollout_thoughts_policy_adamw30_sgd1e_3_nb1k_step_0020
retail,tau2,thoughts_policy_adamw30,sgd1e_3_nb1k,step_best,42,3,42,7.14,2.46,19.01,0,0,retail_rollout_thoughts_policy_adamw30_sgd1e_3_nb1k_step_best
retail,tau2,thoughts_policy_adamw30,sgd3e_3flat,step_best,42,4,42,9.52,3.77,22.07,0,0,retail_rollout_thoughts_policy_adamw30_sgd3e_3flat_step_best
retail,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,42,13,42,30.95,19.07,46.03,0,0,retail_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_0020
retail,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,777,10,42,23.81,13.48,38.53,0,0,retail_rollout_thoughts_policy_adamw30_sgdlr1e_3_s777_step_0020
retail,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_0020,1234,13,42,30.95,19.07,46.03,0,0,retail_rollout_thoughts_policy_adamw30_sgdlr1e_3_s1234_step_0020
retail,tau2,thoughts_policy_adamw30,sgdlr1e_3,step_best,42,10,42,23.81,13.48,38.53,0,0,retail_rollout_thoughts_policy_adamw30_sgdlr1e_3_step_best
retail,tau2,thoughts_policy_adamw30,sgdlr1e_3_rep3,step_0020,42,14,42,33.33,21.01,48.45,0,0,retail_rollout_thoughts_policy_adamw30_sgdlr1e_3_rep3_step_0020
retail,tau2,thoughts_policy_g8top1,g8top1,step_0020,42,12,42,28.57,17.17,43.57,0,0,retail_rollout_thoughts_policy_g8top1_g8top1_step_0020
retail,tau2,thoughts_policy_g8top1,g8top1,step_best,42,7,42,16.67,8.32,30.6,0,0,retail_rollout_thoughts_policy_g8top1_g8top1_step_best
retail,tau2,thoughts_policy_g8top2,g8top2,step_0020,42,7,42,16.67,8.32,30.6,0,0,retail_rollout_thoughts_policy_g8top2_g8top2_step_0020
retail,tau2,thoughts_policy_g8top2,g8top2,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_thoughts_policy_g8top2_g8top2_step_best
retail,tau2,thoughts_policy_g8top4,g8top4,step_0020,42,12,42,28.57,17.17,43.57,0,0,retail_rollout_thoughts_policy_g8top4_g8top4_step_0020
retail,tau2,thoughts_policy_g8top4,g8top4,step_best,42,8,42,19.05,9.98,33.3,0,0,retail_rollout_thoughts_policy_g8top4_g8top4_step_best
